露影藏形	lù yǐng cáng xíng
情深潭水	qíng shēn tán shuǐ
十变五化	shí biàn wǔ huà
异途同归	yì tú tóng guī
马鹿异形	mǎ lù yì xíng
天华乱坠	tiān huā luàn zhuì
非同寻常	fēi tóng xún cháng
识字知书	shí zì zhī shū
飞鸟惊蛇	fēi niǎo jīng shé
投鞭断流	tóu biān duàn liú
脚高步低	jiǎo gāo bù dī
众难群疑	zhòng nán qún yí
金相玉式	jīn xiāng yù shì
闻鸡起舞	wén jī qǐ wǔ
以身试法	yǐ shēn shì fǎ
道听涂说	dào tīng tú shuō
绝薪止火	jué xīn zhǐ huǒ
十死九活	shí sǐ jiǔ huó
乘势使气	chéng shì shǐ qì
烁石流金	shuò shí liú jīn
文治武功	wén zhì wǔ gōng
希世之宝	xī shì zhī bǎo
元恶大奸	yuán è dà jiān
声名狼藉	shēng míng láng jí
涸鱼得水	hé yú dé shuǐ
去故就新	qù gù jiù xīn
窥见一斑	kuī jiàn yī bān
未识一丁	wèi shí yī dīng
至大至刚	zhì dà zhì gāng
卓绝千古	zhuó jué qiān gǔ
没头没脑	méi tóu méi nǎo
铭感不忘	míng gǎn bù wàng
沉密寡言	chén mì guǎ yán
沉默寡言	chén mò guǎ yán
长驱直进	cháng qū zhí jìn
明知故犯	míng zhī gù fàn
破镜重合	pò jìng zhòng hé
片言只语	piàn yán zhǐ yǔ
只言片语	zhī yán piàn yǔ
百端待举	bǎi duān dài jǔ
百废待举	bǎi fèi dài jǔ
感旧之哀	gǎn jiù zhī āi
盛气凌人	shèng qì líng rén
绣虎雕龙	xiù hǔ diāo lóng
恬不知愧	tián bù zhī kuì
违天害理	wéi tiān hài lǐ
若释重负	ruò shì zhòng fù
屡见不鲜	lǚ jiàn bù xiān
永不磨灭	yǒng bù mó miè
嘴快舌长	zuǐ kuài shé cháng
六朝金粉	liù cháo jīn fěn
诛求无已	zhū qiú wú yǐ
半半路路	bàn bàn lù lù
未可厚非	wèi kě hòu fēi
敬授人时	jìng shòu rén shí
自卖自夸	zì mài zì kuā
闲云野鹤	xián yún yě hè
野鹤闲云	yě hè xián yún
罪逆深重	zuì nì shēn zhòng
来鸿去燕	lái hóng qù yàn
风声鹤唳	fēng shēng hè lì
鹤唳风声	hè lì fēng shēng
抽刀断水	chōu dāo duàn shuǐ
接风洗尘	jiē fēng xǐ chén
打虎牢龙	dǎ hǔ láo lóng
正法直度	zhèng fǎ zhí dù
救世济民	jiù shì jì mín
内助之贤	nèi zhù zhī xián
释知遗形	shì shì yí xíng
姿意妄为	zī yì wàng wéi
电流星散	diàn liú xīng sàn
识礼知书	shí lǐ zhī shū
知书达礼	zhī shū dá lǐ
迟疑不决	chí yí bù jué
啸傲风月	xiào ào fēng yuè
西食东眠	xī shí dōng mián
龙精虎猛	lóng jīng hǔ měng
默默无闻	mò mò wú wén
以升量石	yǐ shēng liáng dàn
兵慌马乱	bīng huāng mǎ luàn
横行直撞	héng xíng zhí zhuàng
不知端倪	bù zhī duān ní
画虎类狗	huà hǔ lèi gǒu
执文害意	zhí wén hài yì
有志竟成	yǒu zhì jìng chéng
望而却步	wàng ér què bù
视如土芥	shì rú tǔ jiè
翻然改进	fān rán gǎi jìn
放纵不拘	fàng zòng bù jū
势穷力竭	shì qióng lì jié
洋洋自得	yáng yáng zì dé
如火燎原	rú huǒ liáo yuán
齿白唇红	chǐ bái chún hóng
唇红齿白	chún hóng chǐ bái
语出月胁	yǔ chū yuè xié
迁善去恶	qiān shàn qù è
齿少心锐	chǐ shǎo xīn ruì
半新半旧	bàn xīn bàn jiù
命若悬丝	mìng ruò xuán sī
计获事足	jì huò shì zú
辉光日新	huī guāng rì xīn
风雨漂摇	fēng yǔ piāo yáo
一把死拿	yī bǎ sǐ ná
枯树开花	kū shù kāi huā
大事去矣	dà shì qù yǐ
丹青不渝	dān qīng bù yú
计穷虑极	jì qióng lǜ jí
五颜六色	wǔ yán liù sè
割地求和	gē dì qiú hé
灭景追风	miè yǐng zhuī fēng
易同反掌	yì tóng fǎn zhǎng
本性难移	běn xìng nán yí
善财难舍	shàn cái nán shě
春宵一刻	chūn xiāo yī kè
闲花野草	xián huā yě cǎo
野草闲花	yě cǎo xián huā
执迷不误	zhí mí bù wù
见风使舵	jiàn fēng shǐ duò
唾面自干	tuò miàn zì gān
随声附和	suí shēng fù hè
海沸山崩	hǎi fèi shān bēng
一簧两舌	yī huáng liǎng shé
功德圆满	gōng dé yuán mǎn
家无斗储	jiā wú dòu chǔ
重理旧业	chóng lǐ jiù yè
归心似箭	guī xīn sì jiàn
贤贤易色	xián xián yì sè
回肠寸断	huí cháng cùn duàn
潜德隐行	qián dé yǐn xíng
刀山剑树	dāo shān jiàn shù
剑树刀山	jiàn shù dāo shān
踵迹相接	zhǒng jì xiāng jiē
心如刀剉	xīn rú dāo yíng
心如刀绞	xīn rú dāo jiǎo
独是独非	dú shì dú fēi
以卵击石	yǐ luǎn jī shí
大摇大摆	dà yáo dà bǎi
死声淘气	sǐ shēng táo qì
闲神野鬼	xián shén yě guǐ
没眉没眼	méi méi méi yǎn
语近指远	yǔ jìn zhǐ yuǎn
雨零星乱	yǔ líng xīng luàn
鹤立鸡群	hè lì jī qún
略见一斑	lüè jiàn yī bān
千载难遇	qiān zǎi nán yù
德浅行薄	dé qiǎn xíng báo
势孤力薄	shì gū lì báo
守口如瓶	shǒu kǒu rú píng
摇尾求食	yáo wěi qiú shí
感戴二天	gǎ dài èr tiān
以牙还牙	yǐ yá huán yá
积习成俗	jī xí chéng sú
共为唇齿	gòng wéi chún chǐ
日坐愁城	rì zuò chóu chéng
多见广识	duō jiàn guǎng shí
见多识广	jiàn duō shí guǎng
墨守成法	mò shǒu chéng fǎ
高步云衢	gāo bù yún qú
各执一词	gè zhí yī cí
出奇致胜	chū qí zhì shèng
轰天烈地	hōng tiān liè dì
轰天裂地	hōng tiān liè dì
长揖不拜	cháng yī bù bài
光彩夺目	guāng cǎi duó mù
吊胆提心	diào dǎn tí xīn
提心吊胆	tí xīn diào dǎn
避难就易	bì nán jiù yì
嫁祸于人	jià huò yú rén
退避三舍	tuì bì sān shè
违世异俗	wéi shì yì sú
丧心病狂	sàng xīn bìng kuáng
餐云卧石	cān yún wò shí
造次行事	zào cì xíng shì
贪利忘义	tān lì wàng yì
凤附龙攀	fèng fù lóng pān
附凤攀龙	fù fèng pān lóng
龙攀凤附	lóng pān fèng fù
攀龙附凤	pān lóng fù fèng
锥刀之末	zhuī dāo zhī mò
大树将军	dà shù jiāng jūn
元龙高卧	yuán lóng gāo wò
战火纷飞	zhàn huǒ fēn fēi
白衣秀士	bái yī xiù shì
绝国殊俗	jué guó shū sú
安分守已	ān fěn shǒu jǐ
病由口入	bìng yóu kǒu rù
毁车杀马	huǐ chē shā mǎ
杀马毁车	shā mǎ huǐ chē
另开生面	lìng kāi shēng miàn
有增无损	yǒu zēng wú sǔn
厚貌深情	hòu mào shēn qíng
破涕为笑	pò tì wéi xiào
凤鸣麟出	fèng míng lín chū
承天之佑	chéng tiān zhī yòu
把持不定	bǎ chí bù dìng
蹑影追风	niè yǐng zhuī fēng
追风蹑影	zhuī fēng niè yǐng
岿然不动	kuī rán bù dòng
云龙井蛙	yún lóng jǐng wā
颠扑不磨	diān pū bù mó
冲云破雾	chōng yún pò wù
三回五次	sān huí wǔ cì
梦中说梦	mèng zhōng shuō mèng
正颜厉色	zhèng yán lì sè
质非文是	zhì fēi wén shì
气骄志满	qì jiāo zhì mǎn
气满志骄	qì mǎn zhì jiāo
志满气骄	zhì mǎn qì jiāo
富贵骄人	fù guì jiāo rén
末节细行	mò jié xì xíng
日旰忘食	rì gàn wàng shí
驴前马后	lǘ qián mǎ hòu
浇风薄俗	jiāo fēng bó sú
溢美之辞	yì měi zhī cí
百结愁肠	bǎi jié chóu cháng
愁肠百结	chóu cháng bǎi jié
知恩报德	zhī ēn bào dé
通工易事	tōng gōng yì shì
风清月皎	fēng qīng yuè jiāo
白衣苍狗	bái yī cāng gǒu
苍狗白衣	cāng gǒu bái yī
危如累卵	wēi rú lěi luǎn
成风尽垩	chéng fēng jìn è
胆裂魂飞	dǎn liè hún fēi
魂飞胆裂	hún fēi dǎn liè
帷薄不修	wéi bó bù xiū
莫可名状	mò kě míng zhuàng
阿意取容	ē yì qǔ róng
恩同山岳	ēn tóng shān yuè
识文谈字	shí wén tán zì
爽心悦目	shuǎng xīn yuè mù
比类从事	bǐ lèi cóng shì
视丹如绿	shì dān rú lǜ
一空依傍	yī kōng yī bàng
博古通今	bó gǔ tōng jīn
通古博今	tōng gǔ bó jīn
